                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2149,                0.96787,                  1.089,                0.39082,                0.53147,                0.39987,                0.24083,                  1.371,                 1.2778,                 1.2283,             0.00091588,             0.00091588,             0.00091588
                     84,                 1.1811,                0.94674,                 1.0905,                0.50395,                0.46019,                0.46553,                0.28419,                 1.3799,                 1.2363,                 1.2293,             0.00091175,             0.00091175,             0.00091175
                     85,                 1.2061,                0.91939,                  1.099,                0.45742,                0.47461,                0.43298,                0.25768,                  1.397,                 1.2458,                 1.2373,             0.00090763,             0.00090763,             0.00090763
                     86,                 1.1843,                0.91942,                 1.0898,                0.40007,                0.51372,                0.42442,                0.25704,                 1.3908,                 1.2624,                 1.2474,              0.0009035,              0.0009035,              0.0009035
                     87,                 1.1999,                0.91671,                 1.0955,                0.38997,                0.45719,                0.38861,                0.23123,                 1.4046,                 1.2868,                 1.2657,             0.00089938,             0.00089938,             0.00089938
                     88,                  1.187,                0.91355,                 1.0903,                 0.4335,                0.38179,                 0.3887,                0.23904,                 1.3885,                  1.284,                 1.2517,             0.00089525,             0.00089525,             0.00089525
                     89,                 1.1809,                0.90412,                 1.0781,                0.35777,                0.49539,                0.40208,                0.24577,                 1.3793,                 1.2647,                 1.2207,             0.00089112,             0.00089112,             0.00089112
                     90,                 1.1806,                 0.9028,                 1.0815,                0.43036,                0.44402,                0.40057,                0.24729,                 1.3492,                 1.2376,                 1.2315,               0.000887,               0.000887,               0.000887
                     91,                 1.1695,                 0.8971,                 1.0804,                0.43224,                0.44099,                 0.4001,                0.24411,                 1.3968,                  1.276,                 1.2696,             0.00088288,             0.00088288,             0.00088288
                     92,                 1.1524,                0.88605,                 1.0645,                0.40445,                0.46132,                0.40648,                0.24486,                 1.3843,                 1.2524,                 1.2346,             0.00087875,             0.00087875,             0.00087875
